feature,original,summary,reference
"To create a new label in a human interpretable manner, we need to identify the heteroatom bonded to three oxygen atoms. This is typically a phosphate group, which consists of a phosphorus atom bonded to three oxygen atoms. 

If the original label includes integers, such as ""PO4"" or ""Phosphate3"", we should remove the integers and rewrite the label in a clear and understandable way. 

The new label could simply be ""Phosphate Group"".","molecules in terms of enriched substructural patterns, whichwere identified by MoSS (
Tables S4 and S5). When comparing
the substructures that were majorly found in toxic molecules
for environmental endpoints to those found in human-basedendpoints (
Table S2 ), we observed that the substructures were
strikingly more enriched in the former for phosphate, phos-
phorothioate or other, sulphur-, phosphorus- and oxygen atomcombinations. On the other hand, those substructures found in
toxic classes in human-based endpoints were consistently more
enriched in ether, ketone, hydroxyl and nitrogen-enriched sub-
structures. Similarities between the environmental and human-
based endpoints include the presence of chloride and nitrosogroups. However, within the environmental endpoints, these
represented more notable contributions to toxicity. Finally, when
comparing substructures enriched across the different endpointsto well-known, experimentally validated and statistically tested
toxicophores [","The study analyzed molecular substructures associated with toxicity in both environmental and human-based endpoints using MoSS. It was found that substructures enriched in toxic molecules for environmental endpoints predominantly contained combinations of phosphate, phosphorothioate, sulfur, phosphorus, and oxygen atoms. In contrast, toxic substructures in human-based endpoints were more enriched with ether, ketone, hydroxyl, and nitrogen-containing groups. Both environmental and human-based toxic endpoints shared similarities, such as the presence of chloride and nitroso groups, although these contributed more significantly to toxicity in environmental contexts. The study also compared these enriched substructures to known toxicophores.","REFERENCE:(Alex G. C. de Sá, Yangyang Long, Stephanie Portelli, Douglas E. V. Pires, David B. Ascher,2022,toxCSM: comprehensive prediction of small molecule toxicity profiles)"
"To create a new label in a human interpretable manner, we need to identify the heteroatom bonded to three oxygen atoms. This is typically a phosphate group, which consists of a phosphorus atom bonded to three oxygen atoms. 

If the original label includes integers, such as ""PO4"" or ""Phosphate3"", we should remove the integers and rewrite the label in a clear and understandable way. 

The new label could simply be ""Phosphate Group"".","molecules containing OH-group. Quantum chemical calculations are
performed at PBE0-D3BJ/aug-cc-pVTZ/CPCM(H 2O) level of theory.Review Article Chem Soc Rev
Published on 15 July 2021. Downloaded by ECOLE POLYTECHNIC FED DE LAUSANNE on 9/24/2024 10:03:43 PM. 
View Article Online","The text discusses quantum chemical calculations conducted on molecules containing an OH group. These calculations were performed using the PBE0-D3BJ/aug-cc-pVTZ/CPCM(H2O) level of theory. The article was published in the journal ""Chemical Society Reviews"" on July 15, 2021, and was accessed online by the École Polytechnique Fédérale de Lausanne on September 24, 2024.","REFERENCE:(Igor V. Alabugin, Leah Kuhn, Michael G. Medvedev, Nikolai V. Krivoshchapov, Vera A. Vil’, Ivan A. Yaremenko, Patricia Mehaffy, Meysam Yarie, Alexander O. Terent’ev, Mohammad Ali Zolfigol,2021,Stereoelectronic power of oxygen in control of chemical reactivity: the anomeric effect is not alone)"
"To create a new label in a human interpretable manner, we need to identify the heteroatom bonded to three oxygen atoms. This is typically a phosphate group, which consists of a phosphorus atom bonded to three oxygen atoms. 

If the original label includes integers, such as ""PO4"" or ""Phosphate3"", we should remove the integers and rewrite the label in a clear and understandable way. 

The new label could simply be ""Phosphate Group"".","The model can be explained with the following SHAP analysis.Feature presence of a heteroatom bonded to three O has a correlation coefficient of  -0.9730490909057579 with its SHAP values. 
The average impact of presence of a heteroatom bonded to three O is 1.1380509894209032.
 Feature presence of a tertiary amine has a correlation coefficient of  0.7321885165158918 with its SHAP values. 
The average impact of presence of a tertiary amine is 0.11896651572457036.
 Feature Is a C-O single bond has a correlation coefficient of  0.7970382244919982 with its SHAP values. 
The average impact of Is a C-O single bond is 0.11502051382295993.","The SHAP analysis of the model reveals the following insights regarding feature impacts and correlations with SHAP values: 

1. The presence of a heteroatom bonded to three oxygen atoms has a strong negative correlation with its SHAP values, with a correlation coefficient of -0.973. Its average impact on the model is 1.138.

2. The presence of a tertiary amine shows a positive correlation with its SHAP values, having a correlation coefficient of 0.732. The average impact of this feature is 0.119.

3. The presence of a C-O single bond also exhibits a positive correlation with its SHAP values, with a correlation coefficient of 0.797. Its average impact is 0.115.","REFERENCE:(XpertAI,2023,XAI Summary)"
"To create a new label in a human interpretable manner, we need to identify the heteroatom bonded to three oxygen atoms. This is typically a phosphate group, which consists of a phosphorus atom bonded to three oxygen atoms. 

If the original label includes integers, such as ""PO4"" or ""Phosphate3"", we should remove the integers and rewrite the label in a clear and understandable way. 

The new label could simply be ""Phosphate Group"".","For simplicity, we will show only the p-type lone pairs (one on
each of the neutral oxygen atoms and two at the anionic oxygen)and will only present the major pathway starting with the axialattack of the labeled anionic nucleophile at the carbonyl moiety.
The initial nucleophilic attack creates an anionic hemi-
ortho-ester intermediate which can exist in two prototropicforms with the alkoxide group axial or equatorial. Each favorablefragmentation of these two species is assisted by two anomeric
n
O-s*COinteractions, where the donor orbital is one of the
four p-type lone pairs shown for the three oxygen atoms in
Fig. 104. Fragmentations assisted by a single anomeric inter-action are less favored. Furthermore, only formation of the ring-opened products can give the favorable Z-conformer of the
product, whereas the formation of lactones has to revert to anunstable E-conformer. In contrast, incorporation of
18Ol a b e li n","The text describes a chemical reaction mechanism involving a nucleophilic attack on a carbonyl group by an anionic nucleophile, leading to the formation of an anionic hemi-ortho-ester intermediate. This intermediate can exist in two forms, with the alkoxide group either axial or equatorial. The fragmentation of these intermediates is facilitated by two anomeric nO-s*CO interactions involving p-type lone pairs on oxygen atoms. Fragmentations with only one anomeric interaction are less favorable. The formation of ring-opened products results in a stable Z-conformer, while lactone formation leads to an unstable E-conformer.","REFERENCE:(Igor V. Alabugin, Leah Kuhn, Michael G. Medvedev, Nikolai V. Krivoshchapov, Vera A. Vil’, Ivan A. Yaremenko, Patricia Mehaffy, Meysam Yarie, Alexander O. Terent’ev, Mohammad Ali Zolfigol,2021,Stereoelectronic power of oxygen in control of chemical reactivity: the anomeric effect is not alone)"
"To create a new label in a human interpretable manner, we need to identify the heteroatom bonded to three oxygen atoms. This is typically a phosphate group, which consists of a phosphorus atom bonded to three oxygen atoms. 

If the original label includes integers, such as ""PO4"" or ""Phosphate3"", we should remove the integers and rewrite the label in a clear and understandable way. 

The new label could simply be ""Phosphate Group"".","O
NHN
NNNO
dRHOH2N
NHCOCH3COOH
NO
COOH
H3COCHNNO
COOH
H3COCHNOSCOOH
NHCOCH3
HSCOOH
NHCOCH 3
P450
Furan 1402'-deoxycytidine
2'-deoxyadenosine
2'-deoxyguanosine
+N-Acetyllysine
+N-Acetylcysteine","The text appears to list a series of chemical structures and compounds, including various functional groups and molecular fragments. It mentions several chemical entities such as N-acetyllysine, N-acetylcysteine, and P450, along with nucleosides like 2'-deoxycytidine, 2'-deoxyadenosine, and 2'-deoxyguanosine. Additionally, it includes functional groups such as acetyl, carboxyl, and thiol groups, as well as references to furan and other chemical moieties.","REFERENCE:(Amit S. Kalgutkar, Iain Gardner, R. Scott Obach, Christopher L. Shaffer, Ernesto Callegari, Kirk R. Henne, Abdul E. Mutlib, Deepak K. Dalvie, Jae S. Lee, Yasuhiro Nakai, John P. O'Donnell, Jason Boer, Shawn P. Harriman,2005,A Comprehensive Listing of Bioactivation Pathways of Organic Functional Groups)"
"To create a new label in a human interpretable manner, we need to remove any integers from the original label and then rewrite it. However, since you haven't provided the original label, I'll give you a general example of how this process would work:

Original label: ""Tertiary Amine 123""

1. Remove the integers: ""Tertiary Amine""
2. Rewrite in a human interpretable manner: ""Contains a tertiary amine""

If you provide the specific label you have, I can help you rewrite it accordingly.","InTable S2 , each toxicity endpoint is further subdivided based
on the nature of the experimental data available, into categor-ical or continuous target variables, which are associated with
classification or regression problems, respectively. In total, these
endpoints consist of 43,236 unique compounds represented asSMILES strings, after filtering valid molecules using the RDkit
cheminformatics toolkit [
32].
Before splitting each toxicity endpoint into training and
blind test sets, we performed an analysis of the molecular
(sub)structures of each classification endpoint to verify the
reliability of using structural clustering information on splitting.Nevertheless, clustering molecules using the Butina clustering
algorithm [
33] by Tanimoto similarity [ 34] on Morgan fingerprints
[35] revealed that even structurally very similar molecules could
have opposing toxicity effects (see Table S3 and SupplementaryMaterial and Methods), showing that clustering is not always","The text describes the process of categorizing toxicity endpoints into categorical or continuous target variables, corresponding to classification or regression problems, respectively. A total of 43,236 unique compounds, represented as SMILES strings, were filtered using the RDkit cheminformatics toolkit. Prior to dividing each toxicity endpoint into training and test sets, an analysis of molecular (sub)structures was conducted to assess the reliability of using structural clustering information for splitting. However, clustering molecules using the Butina algorithm based on Tanimoto similarity and Morgan fingerprints indicated that structurally similar molecules could exhibit different toxicity effects, suggesting that clustering is not always reliable for this purpose.","REFERENCE:(Alex G. C. de Sá, Yangyang Long, Stephanie Portelli, Douglas E. V. Pires, David B. Ascher,2022,toxCSM: comprehensive prediction of small molecule toxicity profiles)"
"To create a new label in a human interpretable manner, we need to remove any integers from the original label and then rewrite it. However, since you haven't provided the original label, I'll give you a general example of how this process would work:

Original label: ""Tertiary Amine 123""

1. Remove the integers: ""Tertiary Amine""
2. Rewrite in a human interpretable manner: ""Contains a tertiary amine""

If you provide the specific label you have, I can help you rewrite it accordingly.","the purpose of this study. By labeling the metabolites we pretendto analyze whether the reason for the small model performanceimprovement is due to poor quality of the predicted probabilitiesof toxicity of the metabolites. Hence, predicting the toxicity labelof the metabolites would su ﬀer from the same limitation. We
acknowledge that any manual or automatic metabolite labeling
approach is a limitation of this study. The only way to overcomethis limitation is the use of a large dataset of metabolites withmeasured toxicities. However, to our best knowledge no suchdataset is in existence in the public domain.
With the hybrid-approach we aim to obtain the best
predictions for each compound by predicting the probability ofthe parent compound to be toxic with the baseline model, and
the probability to be toxic of the individual metabolites with the","The study aims to investigate whether the limited improvement in model performance is due to the poor quality of predicted toxicity probabilities of metabolites. The researchers acknowledge that both manual and automatic metabolite labeling approaches are limitations of the study. They suggest that overcoming this limitation would require a large dataset of metabolites with measured toxicities, which is currently unavailable in the public domain. The study employs a hybrid approach to achieve optimal predictions by assessing the toxicity probability of the parent compound using a baseline model and evaluating the toxicity probability of individual metabolites.","REFERENCE:(Marina Garcia de Lomana, Fredrik Svensson, Andrea Volkamer, Miriam Mathea, Johannes Kirchmair,2022,Consideration of predicted small-molecule metabolites in computational toxicology)"
"To create a new label in a human interpretable manner, we need to remove any integers from the original label and then rewrite it. However, since you haven't provided the original label, I'll give you a general example of how this process would work:

Original label: ""Tertiary Amine 123""

1. Remove the integers: ""Tertiary Amine""
2. Rewrite in a human interpretable manner: ""Contains a tertiary amine""

If you provide the specific label you have, I can help you rewrite it accordingly.","dings encoding for the relationships among the chemicals. We used this framework for establishing concordance 
across in vitro, in vivo, and clinical datasets. Notably, in response to the adoption of the 3 Rs (Replacement, 
Reduction, and Refinement of animal testing) in global  legislation41,42, we assessed the need for animal data in 
making clinical toxicity predictions. To provide more comprehensive molecular explanations of toxicity predic -
tions, we adopted the Contrastive Explanations Method (CEM) explainability  model43 which explains “black-box” 
DNN predictions by revealing pertinent positive (PP) and pertinent negative (PN) features as chemical structures 
correlating to a given prediction. Specifically, we explained single-task toxicity predictions in vitro, in vivo, and 
clinically. The PPs represent the minimum required substructures for classification of a molecule (toxicophores","The study utilized a framework to establish concordance across in vitro, in vivo, and clinical datasets, particularly in the context of the 3 Rs (Replacement, Reduction, and Refinement) in animal testing legislation. The research assessed the necessity of animal data for clinical toxicity predictions. To enhance the molecular understanding of these predictions, the Contrastive Explanations Method (CEM) was employed. This method explains ""black-box"" deep neural network predictions by identifying pertinent positive (PP) and pertinent negative (PN) features, which are chemical structures associated with a given prediction. The study specifically explained single-task toxicity predictions across different testing environments, with PPs indicating the essential substructures required for classifying a molecule as toxic.","REFERENCE:(Bhanushee Sharma, Vijil Chenthamarakshan, Amit Dhurandhar, Shiranee Pereira, James A. Hendler, Jonathan S. Dordick, Payel Das,2023,Accurate clinical toxicity prediction using multi‑task deep neural nets and contrastive molecular explanations)"
"To create a new label in a human interpretable manner, we need to remove any integers from the original label and then rewrite it. However, since you haven't provided the original label, I'll give you a general example of how this process would work:

Original label: ""Tertiary Amine 123""

1. Remove the integers: ""Tertiary Amine""
2. Rewrite in a human interpretable manner: ""Contains a tertiary amine""

If you provide the specific label you have, I can help you rewrite it accordingly.","the data containing the chemical description of the compounds
(Section2.3.1),(2)creatingchemicaldescriptorsasinputf eatures
for the models (Section 2.3.2), (3) model selection includin g
featureselectionifrequiredbythemodelclass(Section2.3 .3),(4)
evaluatingthequalityofmodelsinordertochoosethebestone s
(Section2.3.4),and(5)combiningmodelstoensemblepredic tors
(Section2.3.5).Theindividualstepsofthepipelinearevisua lized
asboxesin Figure6.
2.3.1. Data Cleaning and Quality Control
In the ﬁrst step, DeepTox improves the quality of the training
data. We had observed that the chemical substances in questi on
are often mixtures of distinct chemical structures that are
not connected by covalent bonds. Therefore, we introduced
FIGURE 6 | DeepTox pipeline for toxicity prediction.
Frontiers in Environmental Science | www.frontiersin.org 7 February 2016 | Volume 3 | Article 80","The text outlines a pipeline for toxicity prediction using a method called DeepTox. The process involves several key steps: (1) data cleaning and quality control to improve the training data, particularly addressing issues with chemical substances that are mixtures of distinct structures not connected by covalent bonds; (2) creating chemical descriptors to serve as input features for models; (3) selecting appropriate models and performing feature selection if necessary; (4) evaluating model quality to identify the best-performing models; and (5) combining models to form ensemble predictors. These steps are visually represented as boxes in Figure 6 of the referenced article.","REFERENCE:(Andreas Mayr, Günter Klambauer, Thomas Unterthiner, Sepp Hochreiter,2016,DeepTox: Toxicity Prediction using Deep Learning)"
"To create a new label in a human interpretable manner, we need to remove any integers from the original label and then rewrite it. However, since you haven't provided the original label, I'll give you a general example of how this process would work:

Original label: ""Tertiary Amine 123""

1. Remove the integers: ""Tertiary Amine""
2. Rewrite in a human interpretable manner: ""Contains a tertiary amine""

If you provide the specific label you have, I can help you rewrite it accordingly.","12
Vol:.(1234567890) Scientific Reports  |         (2023) 13:4908  | https://doi.org/10.1038/s41598-023-31169-8
www.nature.com/scientificreports/chemicals in  PubChem66 and 35 million chemicals in  ZINC1267. The trained translation model was then applied 
to the chemicals present in the in vitro, in vivo, and clinical datasets to obtain their embeddings.
Datasets: in  vitro, in  vivo, clinical. The single-task and multi-task models predict binary classes, whether a 
chemical is toxic or not, for each of the in vitro, in vivo, and clinical platforms. Twelve binary classes were defined 
for the in vitro platform, collected from the Tox21 challenge, a subset of the broader “Toxicology in the 21st 
Century” initiative that experimentally tests in vitro the ability of a large number of chemicals to disrupt bio-
logical pathways through high-throughput screening (HTS)  techniques17–19. In particular, twelve in vitro assay","The article discusses the application of a trained translation model to chemical datasets from in vitro, in vivo, and clinical studies to obtain chemical embeddings. The study involves predicting the toxicity of chemicals using single-task and multi-task models, which classify chemicals as toxic or non-toxic across these platforms. Specifically, for the in vitro platform, twelve binary classes were defined based on data from the Tox21 challenge, part of the ""Toxicology in the 21st Century"" initiative. This initiative uses high-throughput screening techniques to experimentally test the potential of numerous chemicals to disrupt biological pathways.","REFERENCE:(Bhanushee Sharma, Vijil Chenthamarakshan, Amit Dhurandhar, Shiranee Pereira, James A. Hendler, Jonathan S. Dordick, Payel Das,2023,Accurate clinical toxicity prediction using multi‑task deep neural nets and contrastive molecular explanations)"
